@RELATION safe-tweets

@ATTRIBUTE verifiedUser 	 NUMERIC 
@ATTRIBUTE Profanity 	 NUMERIC 
@ATTRIBUTE Explicit 	 NUMERIC 
@ATTRIBUTE HateSpeech 	 NUMERIC 
@ATTRIBUTE hasPhoto 	 NUMERIC 
@ATTRIBUTE RetweetCount 	 NUMERIC 
@ATTRIBUTE class 	{Safe, Unsafe}

@DATA
0,0,0,0,0,1,Safe
0,0,0,0,0,1,Unsafe
0,0,0,0,0,0,Safe
0,0,0,0,1,1,Safe
0,0,2,0,1,1,Unsafe
0,0,0,0,0,857,Safe
0,0,0,0,0,858,Safe
0,0,0,0,0,681,Safe
0,0,0,0,0,945,Safe
0,0,0,0,0,979,Safe
0,0,0,0,0,1052,Safe
0,0,0,0,0,384,Safe
0,0,0,0,0,2,Safe
0,0,0,0,0,839,Safe
0,0,0,0,0,654,Safe
0,0,0,0,0,1058,Safe
0,0,3,0,0,0,Unsafe
0,0,2,0,0,0,Unsafe
0,0,2,0,0,0,Unsafe
0,0,5,0,0,0,Unsafe
0,1,4,0,0,0,Unsafe
0,0,4,0,0,0,Unsafe
0,0,2,0,0,0,Unsafe
0,0,5,0,0,0,Unsafe
0,1,5,0,0,0,Unsafe
0,1,3,0,0,0,Unsafe
0,1,9,0,0,0,Unsafe
0,0,3,0,0,0,Unsafe
0,0,5,0,0,0,Unsafe
0,3,12,0,0,0,Unsafe
0,1,11,0,0,0,Unsafe
0,0,5,0,0,0,Unsafe
0,0,2,0,0,0,Unsafe
0,0,2,0,0,0,Unsafe
0,0,3,0,0,0,Unsafe
0,1,8,0,0,0,Unsafe
0,0,0,0,0,2,Safe
0,0,0,0,0,1,Safe
0,0,0,0,0,1,Safe
0,1,7,0,0,4,Unsafe
0,0,0,0,0,6,Safe
0,0,0,0,1,234,Safe
0,0,0,0,0,144,Safe
0,0,0,0,0,16,Safe
0,0,0,0,1,108,Safe
0,0,0,0,0,6,Safe
0,0,2,0,0,1,Unsafe
0,0,0,0,0,0,Safe
0,1,6,0,0,789,Unsafe
0,0,0,0,0,0,Safe
0,0,0,0,1,19,Safe
0,0,0,0,0,0,Safe
0,0,0,0,0,0,Safe
0,0,0,0,0,0,Unsafe
0,0,0,0,0,562,Safe
0,0,0,2,0,2,Safe
0,0,0,0,0,2,Safe
0,0,0,0,0,1,Safe
0,0,0,0,0,1,Safe
0,0,0,0,0,3,Safe
0,0,0,0,0,1,Safe
0,0,0,0,0,1,Safe
0,0,0,0,0,1,Safe
0,0,0,0,0,1,Safe
0,0,0,0,0,0,Safe
0,0,0,0,0,0,Safe
0,0,0,0,0,0,Safe
0,0,0,0,0,0,Safe
0,0,0,0,0,1,Safe
0,0,0,0,0,1,Safe
0,0,0,0,0,3,Safe
0,0,0,0,0,0,Safe
0,0,0,0,0,0,Safe
0,0,0,0,0,0,Safe
0,0,0,0,0,1,Safe
0,0,0,0,0,1,Safe
0,0,3,0,0,0,Unsafe
0,0,0,0,0,1,Safe
0,0,0,2,0,0,Unsafe
0,0,0,2,0,0,Unsafe
0,0,3,0,0,0,Unsafe
0,0,0,0,0,0,Safe
0,0,0,0,0,2,Safe
0,0,0,0,0,0,Unsafe
0,0,1,0,0,0,Unsafe
0,0,0,0,0,0,Unsafe
0,0,1,0,0,0,Unsafe
0,0,0,0,0,0,Unsafe
0,3,2,2,0,1,Unsafe
0,0,0,2,0,0,Unsafe
0,0,0,2,0,0,Unsafe
0,0,3,0,0,0,Unsafe
0,0,0,0,0,0,Unsafe
